,precision,recall,f1-score,support
currency,0.5,0.5,0.5,2.0
housing,1.0,0.6666666666666666,0.8,3.0
interest,0.7142857142857143,1.0,0.8333333333333334,5.0
jobs,0.9534883720930233,1.0,0.9761904761904762,41.0
macro,0.8333333333333334,0.8,0.8163265306122449,25.0
none,0.8529411764705882,0.8787878787878788,0.8656716417910447,33.0
other,1.0,0.5,0.6666666666666666,2.0
prices,1.0,0.3333333333333333,0.5,3.0
retail,0.3333333333333333,1.0,0.5,1.0
wages,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934
macro avg,0.8187381929515993,0.7393073593073592,0.7291521981927098,122.0
weighted avg,0.8850670271921197,0.8688524590163934,0.866659592635684,122.0
