,lhs,rhs,count
0,macro,macro,19
1,macro,industry,0
2,macro,government,1
3,macro,personal,0
4,macro,business,0
5,macro,other,0
6,industry,macro,1
7,industry,industry,3
8,industry,government,0
9,industry,personal,0
10,industry,business,1
11,industry,other,0
12,government,macro,1
13,government,industry,0
14,government,government,6
15,government,personal,0
16,government,business,1
17,government,other,0
18,personal,macro,0
19,personal,industry,0
20,personal,government,1
21,personal,personal,1
22,personal,business,0
23,personal,other,0
24,business,macro,0
25,business,industry,0
26,business,government,0
27,business,personal,0
28,business,business,3
29,business,other,0
30,other,macro,0
31,other,industry,0
32,other,government,0
33,other,personal,0
34,other,business,0
35,other,other,0
