,precision,recall,f1-score,support
currency,0.5,0.5,0.5,2.0
housing,1.0,0.5,0.6666666666666666,2.0
interest,0.7142857142857143,1.0,0.8333333333333334,5.0
jobs,0.9534883720930233,1.0,0.9761904761904762,41.0
macro,0.8518518518518519,0.92,0.8846153846153846,25.0
market,0.0,0.0,0.0,0.0
none,0.9655172413793104,0.8484848484848485,0.9032258064516129,33.0
other,0.5,0.5,0.5,2.0
prices,1.0,0.3333333333333333,0.5,3.0
retail,0.3333333333333333,1.0,0.5,1.0
wages,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.8842975206611571,0.8842975206611571,0.8842975206611571,0.8842975206611571
macro avg,0.7107705920857484,0.6651003541912632,0.6452150000537097,121.0
weighted avg,0.9103814084494991,0.8842975206611571,0.8866031329374437,121.0
