,precision,recall,f1-score,support
currency,0.5,0.5,0.5,2.0
housing,1.0,1.0,1.0,3.0
interest,1.0,1.0,1.0,5.0
jobs,0.9111111111111111,1.0,0.9534883720930233,41.0
macro,0.8421052631578947,0.64,0.7272727272727272,25.0
none,0.875,0.8484848484848485,0.8615384615384615,33.0
other,0.6666666666666666,1.0,0.8,2.0
prices,1.0,1.0,1.0,3.0
retail,0.2,1.0,0.33333333333333337,1.0
wages,1.0,0.7142857142857143,0.8333333333333333,7.0
accuracy,0.860655737704918,0.860655737704918,0.860655737704918,0.860655737704918
macro avg,0.7994883040935672,0.8702770562770562,0.8008966227570878,122.0
weighted avg,0.8837419710478382,0.860655737704918,0.8645268634021969,122.0
