,precision,recall,f1-score,support
currency,1.0,0.8,0.8888888888888888,5.0
energy,1.0,1.0,1.0,10.0
housing,1.0,0.9523809523809523,0.975609756097561,21.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9469026548672567,0.981651376146789,0.963963963963964,109.0
macro,0.8571428571428571,0.8372093023255814,0.8470588235294118,86.0
market,0.9591836734693877,0.7966101694915254,0.8703703703703703,59.0
none,0.933852140077821,0.967741935483871,0.9504950495049505,248.0
other,1.0,0.5,0.6666666666666666,6.0
prices,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
retail,0.6,0.75,0.6666666666666666,4.0
wages,0.8666666666666667,0.8125,0.8387096774193549,16.0
accuracy,0.9170896785109983,0.9170896785109983,0.9170896785109983,0.9170896785109983
macro avg,0.8872567771297768,0.8417825365937852,0.8545120124018433,591.0
weighted avg,0.9194819671215062,0.9170896785109983,0.916118970502261,591.0
